customer_id,created_at,country,acquisition_channel
584,2025-02-01T12:33:48+00:00,NZ,Referral
137,2025-02-01T14:17:13+00:00,AU,Google Ads
407,2025-02-02T20:20:06+00:00,CA,Referral
135,2025-02-03T15:21:40+00:00,UK,Organic
776,2025-02-04T00:18:55+00:00,US,Referral
299,2025-02-04T12:02:27+00:00,NZ,Organic
257,2025-02-04T12:42:38+00:00,UK,Organic
992,2025-02-04T21:52:38+00:00,AU,Organic
659,2025-02-05T08:57:02+00:00,CA,Google Ads
550,2025-02-05T15:51:00+00:00,US,Referral
609,2025-02-07T13:56:35+00:00,NZ,Google Ads
470,2025-02-09T09:36:22+00:00,NZ,Google Ads
28,2025-02-09T18:03:09+00:00,UK,Facebook Ads
184,2025-02-09T20:14:29+00:00,UK,Google Ads
177,2025-02-10T05:02:35+00:00,NZ,Organic
376,2025-02-11T13:10:00+00:00,AU,Referral
132,2025-02-11T13:36:57+00:00,NZ,Referral
972,2025-02-11T14:31:01+00:00,CA,Organic
704,2025-02-11T17:20:54+00:00,US,Organic
509,2025-02-13T20:50:14+00:00,NZ,Facebook Ads
601,2025-02-14T08:09:19+00:00,CA,Organic
208,2025-02-15T01:04:16+00:00,NZ,Organic
27,2025-02-15T08:14:53+00:00,NZ,Organic
225,2025-02-15T18:28:05+00:00,US,Organic
657,2025-02-15T23:12:01+00:00,NZ,Organic
461,2025-02-17T00:24:41+00:00,NZ,Organic
853,2025-02-17T22:24:46+00:00,NZ,Referral
166,2025-02-18T08:30:44+00:00,NZ,Facebook Ads
45,2025-02-18T12:35:20+00:00,US,Google Ads
253,2025-02-18T13:53:37+00:00,AU,Referral
716,2025-02-18T16:35:36+00:00,US,Google Ads
981,2025-02-20T07:35:10+00:00,NZ,Referral
8,2025-02-20T15:45:01+00:00,NZ,Facebook Ads
231,2025-02-20T20:19:56+00:00,AU,Referral
684,2025-02-20T22:04:00+00:00,CA,Google Ads
89,2025-02-21T07:43:13+00:00,NZ,Google Ads
95,2025-02-21T08:27:57+00:00,NZ,Referral
161,2025-02-21T08:49:34+00:00,AU,Referral
288,2025-02-22T01:59:24+00:00,UK,Organic
738,2025-02-22T23:25:28+00:00,NZ,Organic
859,2025-02-23T01:26:19+00:00,UK,Google Ads
518,2025-02-24T21:59:58+00:00,AU,Google Ads
652,2025-02-25T20:03:03+00:00,NZ,Organic
930,2025-02-26T01:49:12+00:00,UK,Facebook Ads
721,2025-02-26T09:05:36+00:00,US,Organic
198,2025-02-26T13:41:56+00:00,UK,Google Ads
420,2025-02-27T03:42:14+00:00,NZ,Organic
436,2025-02-27T05:39:42+00:00,US,Organic
874,2025-02-27T19:19:21+00:00,US,Google Ads
277,2025-03-01T12:09:03+00:00,NZ,Organic
769,2025-03-01T12:37:57+00:00,NZ,Facebook Ads
91,2025-03-01T21:00:30+00:00,CA,Google Ads
773,2025-03-02T14:41:00+00:00,NZ,Facebook Ads
622,2025-03-02T17:01:11+00:00,UK,Organic
229,2025-03-02T17:35:00+00:00,AU,Organic
387,2025-03-03T00:54:32+00:00,UK,Facebook Ads
965,2025-03-03T22:29:06+00:00,US,Organic
500,2025-03-04T17:04:32+00:00,UK,Google Ads
219,2025-03-06T16:54:30+00:00,NZ,Google Ads
644,2025-03-07T03:15:40+00:00,NZ,Organic
155,2025-03-07T05:58:58+00:00,US,Referral
946,2025-03-07T09:17:34+00:00,AU,Referral
887,2025-03-07T22:13:39+00:00,CA,Facebook Ads
983,2025-03-07T22:37:27+00:00,AU,Google Ads
359,2025-03-07T23:47:57+00:00,UK,Google Ads
869,2025-03-08T17:17:39+00:00,NZ,Organic
948,2025-03-09T04:10:17+00:00,NZ,Google Ads
540,2025-03-09T07:17:30+00:00,US,Organic
170,2025-03-09T19:38:44+00:00,NZ,Facebook Ads
664,2025-03-09T19:58:55+00:00,NZ,Google Ads
314,2025-03-10T06:48:39+00:00,AU,Google Ads
806,2025-03-11T13:26:19+00:00,NZ,Google Ads
466,2025-03-12T19:17:43+00:00,NZ,Organic
276,2025-03-14T00:33:06+00:00,AU,Facebook Ads
543,2025-03-14T22:48:23+00:00,NZ,Organic
660,2025-03-16T22:28:35+00:00,AU,Google Ads
934,2025-03-16T23:55:33+00:00,NZ,Organic
530,2025-03-17T08:25:14+00:00,CA,Google Ads
682,2025-03-17T19:44:37+00:00,US,Referral
879,2025-03-18T05:29:47+00:00,NZ,Organic
275,2025-03-18T09:56:54+00:00,NZ,Facebook Ads
319,2025-03-20T07:02:43+00:00,NZ,Referral
780,2025-03-20T17:05:11+00:00,NZ,Organic
24,2025-03-21T17:24:11+00:00,NZ,Google Ads
306,2025-03-22T09:31:50+00:00,AU,Referral
634,2025-03-23T07:24:49+00:00,UK,Google Ads
624,2025-03-23T14:46:00+00:00,NZ,Organic
553,2025-03-24T10:50:31+00:00,NZ,Google Ads
567,2025-03-24T14:56:05+00:00,AU,Organic
431,2025-03-24T21:52:18+00:00,US,Organic
140,2025-03-25T02:08:39+00:00,NZ,Organic
838,2025-03-25T09:29:10+00:00,AU,Referral
531,2025-03-25T18:08:03+00:00,NZ,Organic
236,2025-03-25T19:38:30+00:00,NZ,Organic
305,2025-03-25T20:39:53+00:00,US,Google Ads
120,2025-03-26T17:48:58+00:00,UK,Organic
557,2025-03-27T08:30:53+00:00,NZ,Referral
990,2025-03-27T14:11:19+00:00,UK,Referral
264,2025-03-27T22:35:55+00:00,UK,Google Ads
977,2025-03-27T22:50:06+00:00,US,Organic
107,2025-03-29T01:51:54+00:00,US,Google Ads
507,2025-03-29T18:55:01+00:00,NZ,Organic
47,2025-03-30T00:50:44+00:00,NZ,Organic
354,2025-03-30T23:41:23+00:00,UK,Organic
334,2025-03-31T02:47:43+00:00,AU,Organic
710,2025-03-31T12:00:46+00:00,UK,Organic
537,2025-04-01T21:13:24+00:00,UK,Referral
679,2025-04-02T06:06:31+00:00,AU,Organic
651,2025-04-03T21:39:21+00:00,AU,Google Ads
189,2025-04-04T03:54:48+00:00,AU,Referral
623,2025-04-04T09:17:08+00:00,US,Referral
11,2025-04-04T10:13:12+00:00,US,Organic
637,2025-04-04T16:42:13+00:00,NZ,Google Ads
873,2025-04-05T01:42:36+00:00,NZ,Facebook Ads
933,2025-04-05T06:21:59+00:00,NZ,Referral
759,2025-04-05T23:54:05+00:00,US,Google Ads
474,2025-04-06T03:13:32+00:00,CA,Google Ads
680,2025-04-07T03:02:36+00:00,NZ,Google Ads
176,2025-04-07T11:45:26+00:00,US,Facebook Ads
423,2025-04-07T18:10:41+00:00,CA,Organic
683,2025-04-09T01:23:14+00:00,NZ,Referral
245,2025-04-09T19:12:12+00:00,NZ,Organic
627,2025-04-10T15:23:29+00:00,AU,Facebook Ads
511,2025-04-11T13:22:33+00:00,AU,Organic
592,2025-04-11T15:29:55+00:00,UK,Google Ads
312,2025-04-12T07:56:13+00:00,NZ,Google Ads
705,2025-04-12T13:48:40+00:00,NZ,Organic
57,2025-04-13T04:39:38+00:00,AU,Organic
59,2025-04-13T10:44:15+00:00,US,Organic
204,2025-04-13T11:39:01+00:00,AU,Facebook Ads
492,2025-04-13T12:37:12+00:00,NZ,Google Ads
149,2025-04-13T16:37:19+00:00,NZ,Google Ads
635,2025-04-15T07:47:02+00:00,CA,Google Ads
764,2025-04-16T00:21:13+00:00,NZ,Referral
528,2025-04-16T18:55:17+00:00,NZ,Organic
415,2025-04-16T19:00:32+00:00,NZ,Organic
232,2025-04-17T17:13:41+00:00,US,Organic
895,2025-04-17T23:40:31+00:00,AU,Google Ads
282,2025-04-18T01:22:52+00:00,NZ,Organic
356,2025-04-18T04:07:02+00:00,NZ,Google Ads
593,2025-04-18T08:35:28+00:00,NZ,Referral
52,2025-04-19T03:50:18+00:00,UK,Facebook Ads
813,2025-04-20T07:14:43+00:00,UK,Organic
258,2025-04-20T10:32:56+00:00,US,Organic
433,2025-04-20T15:55:30+00:00,US,Google Ads
734,2025-04-21T12:03:19+00:00,NZ,Organic
146,2025-04-22T00:40:46+00:00,US,Google Ads
169,2025-04-22T03:42:33+00:00,NZ,Referral
14,2025-04-22T09:19:15+00:00,NZ,Google Ads
628,2025-04-23T01:21:05+00:00,AU,Facebook Ads
86,2025-04-23T02:18:01+00:00,NZ,Google Ads
114,2025-04-23T07:43:34+00:00,NZ,Organic
206,2025-04-24T04:30:58+00:00,NZ,Organic
344,2025-04-24T18:02:44+00:00,AU,Referral
402,2025-04-25T15:14:04+00:00,NZ,Google Ads
71,2025-04-27T01:32:50+00:00,AU,Organic
534,2025-04-28T21:49:11+00:00,NZ,Organic
498,2025-04-30T12:36:00+00:00,US,Organic
406,2025-04-30T14:56:02+00:00,NZ,Referral
898,2025-05-01T03:01:29+00:00,AU,Facebook Ads
785,2025-05-01T11:43:22+00:00,NZ,Google Ads
460,2025-05-01T18:33:07+00:00,NZ,Google Ads
668,2025-05-01T20:32:24+00:00,AU,Organic
337,2025-05-02T05:50:16+00:00,AU,Organic
143,2025-05-02T17:12:46+00:00,AU,Facebook Ads
3,2025-05-03T01:18:01+00:00,AU,Organic
881,2025-05-03T09:20:23+00:00,AU,Referral
342,2025-05-04T17:00:41+00:00,NZ,Organic
586,2025-05-05T02:41:59+00:00,NZ,Referral
167,2025-05-05T06:44:43+00:00,NZ,Organic
159,2025-05-06T03:23:45+00:00,US,Organic
426,2025-05-06T04:40:32+00:00,AU,Organic
621,2025-05-07T10:01:09+00:00,AU,Facebook Ads
636,2025-05-07T14:47:49+00:00,NZ,Facebook Ads
517,2025-05-07T18:17:11+00:00,AU,Referral
462,2025-05-07T22:51:20+00:00,US,Facebook Ads
417,2025-05-08T02:32:41+00:00,US,Google Ads
709,2025-05-09T11:28:28+00:00,NZ,Organic
79,2025-05-09T11:52:29+00:00,US,Organic
491,2025-05-09T12:22:42+00:00,UK,Facebook Ads
620,2025-05-09T22:39:31+00:00,CA,Facebook Ads
940,2025-05-10T01:43:54+00:00,NZ,Organic
348,2025-05-10T14:24:25+00:00,CA,Facebook Ads
877,2025-05-10T19:42:44+00:00,US,Organic
4,2025-05-11T08:06:04+00:00,CA,Organic
192,2025-05-11T11:57:28+00:00,AU,Organic
290,2025-05-11T17:03:00+00:00,AU,Organic
17,2025-05-12T00:27:05+00:00,NZ,Organic
414,2025-05-12T11:31:50+00:00,US,Organic
82,2025-05-12T15:38:28+00:00,NZ,Organic
467,2025-05-13T06:26:35+00:00,UK,Facebook Ads
259,2025-05-13T13:38:58+00:00,NZ,Referral
455,2025-05-14T04:16:30+00:00,AU,Google Ads
801,2025-05-14T04:41:59+00:00,AU,Organic
795,2025-05-14T09:58:38+00:00,US,Referral
463,2025-05-14T11:06:09+00:00,UK,Organic
610,2025-05-14T12:15:10+00:00,NZ,Google Ads
67,2025-05-14T19:41:05+00:00,US,Organic
745,2025-05-14T22:08:48+00:00,CA,Organic
238,2025-05-15T03:06:48+00:00,AU,Organic
966,2025-05-15T09:43:41+00:00,AU,Facebook Ads
396,2025-05-17T00:42:15+00:00,AU,Google Ads
437,2025-05-17T08:10:46+00:00,NZ,Referral
80,2025-05-17T12:40:59+00:00,NZ,Facebook Ads
905,2025-05-17T17:20:49+00:00,AU,Referral
367,2025-05-18T02:18:42+00:00,CA,Referral
598,2025-05-18T09:58:22+00:00,AU,Referral
358,2025-05-18T17:05:19+00:00,US,Organic
720,2025-05-19T07:14:16+00:00,US,Google Ads
728,2025-05-19T12:05:49+00:00,US,Facebook Ads
893,2025-05-19T19:22:59+00:00,US,Google Ads
43,2025-05-20T08:20:58+00:00,US,Organic
48,2025-05-20T18:33:50+00:00,AU,Facebook Ads
575,2025-05-20T20:25:17+00:00,NZ,Referral
160,2025-05-21T01:24:56+00:00,NZ,Facebook Ads
788,2025-05-21T08:56:24+00:00,NZ,Organic
294,2025-05-21T11:48:37+00:00,US,Organic
163,2025-05-22T03:41:53+00:00,US,Referral
313,2025-05-22T10:21:23+00:00,CA,Organic
188,2025-05-22T10:27:47+00:00,UK,Google Ads
971,2025-05-22T10:50:55+00:00,NZ,Facebook Ads
284,2025-05-22T23:35:55+00:00,NZ,Organic
105,2025-05-23T20:19:12+00:00,US,Google Ads
581,2025-05-23T23:05:13+00:00,AU,Referral
112,2025-05-24T01:37:45+00:00,NZ,Google Ads
640,2025-05-24T01:47:59+00:00,AU,Organic
44,2025-05-24T02:05:24+00:00,AU,Google Ads
211,2025-05-24T18:46:36+00:00,NZ,Referral
454,2025-05-24T22:36:06+00:00,CA,Referral
279,2025-05-25T05:18:43+00:00,US,Organic
70,2025-05-25T16:55:23+00:00,CA,Facebook Ads
156,2025-05-26T12:01:14+00:00,AU,Organic
689,2025-05-26T22:03:52+00:00,US,Google Ads
772,2025-05-26T22:39:17+00:00,US,Organic
633,2025-05-27T00:07:49+00:00,US,Organic
247,2025-05-27T06:45:21+00:00,NZ,Organic
332,2025-05-27T22:56:47+00:00,NZ,Organic
46,2025-05-28T08:33:29+00:00,AU,Organic
235,2025-05-28T14:21:35+00:00,US,Organic
53,2025-05-28T17:56:22+00:00,AU,Facebook Ads
816,2025-05-28T19:30:45+00:00,CA,Organic
882,2025-05-29T12:52:04+00:00,AU,Organic
913,2025-05-29T17:57:21+00:00,NZ,Organic
193,2025-05-31T19:17:56+00:00,NZ,Facebook Ads
131,2025-06-02T04:08:12+00:00,US,Facebook Ads
740,2025-06-03T07:27:18+00:00,NZ,Google Ads
186,2025-06-04T05:55:02+00:00,NZ,Facebook Ads
126,2025-06-04T15:03:55+00:00,NZ,Facebook Ads
362,2025-06-05T05:11:14+00:00,UK,Google Ads
719,2025-06-05T08:23:56+00:00,US,Organic
841,2025-06-05T14:53:41+00:00,NZ,Referral
150,2025-06-06T02:52:02+00:00,NZ,Referral
618,2025-06-06T04:18:07+00:00,US,Organic
545,2025-06-06T18:08:36+00:00,AU,Facebook Ads
383,2025-06-06T20:38:05+00:00,US,Google Ads
117,2025-06-06T21:56:35+00:00,NZ,Google Ads
662,2025-06-07T18:11:34+00:00,NZ,Referral
393,2025-06-08T18:46:54+00:00,NZ,Organic
157,2025-06-08T23:08:13+00:00,AU,Organic
379,2025-06-09T11:08:43+00:00,NZ,Organic
750,2025-06-09T13:20:43+00:00,NZ,Organic
975,2025-06-10T11:38:36+00:00,UK,Referral
382,2025-06-10T15:35:06+00:00,UK,Organic
272,2025-06-12T17:30:37+00:00,AU,Facebook Ads
926,2025-06-14T02:31:56+00:00,AU,Facebook Ads
464,2025-06-14T20:37:16+00:00,NZ,Organic
706,2025-06-14T23:20:38+00:00,CA,Referral
26,2025-06-15T01:16:28+00:00,CA,Facebook Ads
340,2025-06-15T20:25:27+00:00,AU,Organic
867,2025-06-16T14:26:28+00:00,NZ,Organic
327,2025-06-17T02:06:10+00:00,NZ,Organic
483,2025-06-17T09:45:38+00:00,NZ,Organic
512,2025-06-18T00:44:53+00:00,US,Organic
560,2025-06-18T17:59:51+00:00,UK,Google Ads
410,2025-06-18T18:11:24+00:00,AU,Google Ads
802,2025-06-19T05:20:04+00:00,US,Organic
251,2025-06-19T16:08:31+00:00,AU,Organic
307,2025-06-19T17:22:04+00:00,US,Facebook Ads
595,2025-06-19T19:29:40+00:00,AU,Google Ads
564,2025-06-19T20:41:34+00:00,NZ,Referral
812,2025-06-20T18:39:14+00:00,CA,Organic
945,2025-06-21T06:20:12+00:00,US,Referral
889,2025-06-21T16:05:30+00:00,US,Google Ads
378,2025-06-23T23:41:27+00:00,CA,Organic
743,2025-06-24T01:35:25+00:00,AU,Organic
688,2025-06-24T13:52:23+00:00,NZ,Referral
495,2025-06-24T17:58:37+00:00,CA,Facebook Ads
386,2025-06-24T20:04:46+00:00,NZ,Referral
916,2025-06-24T21:20:35+00:00,NZ,Facebook Ads
250,2025-06-25T14:29:42+00:00,US,Organic
674,2025-06-25T17:09:39+00:00,US,Referral
739,2025-06-25T19:36:32+00:00,NZ,Organic
979,2025-06-26T09:34:29+00:00,NZ,Referral
902,2025-06-26T20:13:00+00:00,US,Organic
522,2025-06-27T07:53:39+00:00,NZ,Google Ads
612,2025-06-27T12:14:16+00:00,AU,Google Ads
69,2025-06-27T13:47:31+00:00,NZ,Referral
345,2025-06-28T02:22:59+00:00,UK,Organic
220,2025-06-28T15:55:10+00:00,NZ,Organic
74,2025-06-28T16:56:36+00:00,NZ,Organic
848,2025-06-29T14:05:16+00:00,NZ,Organic
808,2025-06-29T20:59:47+00:00,NZ,Referral
23,2025-06-29T21:16:05+00:00,UK,Organic
931,2025-06-30T02:28:32+00:00,US,Google Ads
751,2025-06-30T18:05:07+00:00,NZ,Organic
180,2025-07-01T21:05:58+00:00,AU,Organic
888,2025-07-02T03:36:46+00:00,NZ,Organic
718,2025-07-02T14:22:09+00:00,AU,Organic
487,2025-07-02T19:32:33+00:00,AU,Facebook Ads
60,2025-07-02T23:30:58+00:00,AU,Facebook Ads
692,2025-07-03T06:33:06+00:00,US,Google Ads
650,2025-07-03T07:10:31+00:00,NZ,Organic
481,2025-07-03T19:02:46+00:00,AU,Organic
868,2025-07-03T19:38:00+00:00,NZ,Facebook Ads
173,2025-07-04T09:07:50+00:00,NZ,Referral
562,2025-07-04T11:55:43+00:00,US,Google Ads
248,2025-07-04T13:02:59+00:00,UK,Organic
760,2025-07-04T23:03:15+00:00,US,Referral
976,2025-07-05T16:06:25+00:00,AU,Google Ads
385,2025-07-05T17:12:16+00:00,NZ,Referral
50,2025-07-05T18:37:37+00:00,NZ,Facebook Ads
191,2025-07-05T21:41:10+00:00,US,Google Ads
579,2025-07-06T00:08:46+00:00,NZ,Organic
858,2025-07-06T04:11:49+00:00,NZ,Referral
350,2025-07-06T17:14:08+00:00,NZ,Organic
797,2025-07-07T20:08:37+00:00,US,Organic
790,2025-07-08T04:21:57+00:00,NZ,Referral
758,2025-07-08T06:43:23+00:00,NZ,Google Ads
339,2025-07-08T08:26:24+00:00,US,Google Ads
671,2025-07-08T10:46:04+00:00,AU,Organic
927,2025-07-08T11:28:53+00:00,UK,Organic
473,2025-07-08T14:50:44+00:00,AU,Google Ads
35,2025-07-08T15:19:05+00:00,NZ,Google Ads
497,2025-07-08T19:12:29+00:00,NZ,Facebook Ads
499,2025-07-09T05:26:32+00:00,NZ,Google Ads
418,2025-07-09T06:09:11+00:00,NZ,Google Ads
561,2025-07-09T11:01:26+00:00,AU,Organic
403,2025-07-09T11:14:02+00:00,AU,Organic
185,2025-07-10T08:29:03+00:00,NZ,Organic
195,2025-07-11T05:07:25+00:00,NZ,Organic
109,2025-07-11T21:08:46+00:00,US,Organic
753,2025-07-12T06:20:22+00:00,AU,Google Ads
475,2025-07-13T10:51:35+00:00,AU,Referral
96,2025-07-13T11:29:16+00:00,US,Google Ads
453,2025-07-13T11:37:51+00:00,NZ,Google Ads
289,2025-07-13T13:50:43+00:00,NZ,Google Ads
514,2025-07-13T21:47:52+00:00,CA,Organic
834,2025-07-13T23:02:35+00:00,CA,Organic
839,2025-07-14T09:39:58+00:00,NZ,Facebook Ads
421,2025-07-14T10:46:07+00:00,AU,Organic
9,2025-07-14T20:10:38+00:00,UK,Google Ads
141,2025-07-14T20:27:25+00:00,US,Organic
153,2025-07-14T21:08:21+00:00,US,Referral
297,2025-07-15T05:43:04+00:00,CA,Google Ads
832,2025-07-15T14:52:56+00:00,AU,Google Ads
998,2025-07-15T17:18:24+00:00,US,Organic
508,2025-07-16T03:16:04+00:00,US,Google Ads
988,2025-07-16T03:37:38+00:00,NZ,Referral
207,2025-07-16T03:56:26+00:00,NZ,Facebook Ads
896,2025-07-16T05:56:39+00:00,AU,Facebook Ads
178,2025-07-16T06:44:59+00:00,NZ,Google Ads
179,2025-07-16T10:15:00+00:00,US,Google Ads
401,2025-07-16T11:02:14+00:00,NZ,Google Ads
254,2025-07-16T16:49:58+00:00,US,Organic
493,2025-07-17T00:47:45+00:00,CA,Facebook Ads
749,2025-07-17T07:15:04+00:00,NZ,Referral
213,2025-07-17T16:44:44+00:00,CA,Google Ads
614,2025-07-17T19:51:44+00:00,US,Organic
654,2025-07-18T03:08:31+00:00,AU,Organic
548,2025-07-18T13:54:24+00:00,US,Referral
955,2025-07-18T14:03:08+00:00,US,Google Ads
767,2025-07-18T15:39:46+00:00,NZ,Referral
241,2025-07-18T16:23:44+00:00,NZ,Facebook Ads
880,2025-07-19T11:59:02+00:00,NZ,Organic
375,2025-07-19T18:23:51+00:00,NZ,Organic
214,2025-07-20T03:27:42+00:00,NZ,Google Ads
649,2025-07-20T04:23:49+00:00,NZ,Referral
94,2025-07-20T09:45:45+00:00,NZ,Organic
892,2025-07-20T10:16:33+00:00,NZ,Referral
670,2025-07-20T11:49:39+00:00,UK,Google Ads
439,2025-07-20T18:04:14+00:00,AU,Google Ads
388,2025-07-21T00:52:37+00:00,US,Organic
589,2025-07-21T04:08:33+00:00,NZ,Google Ads
209,2025-07-21T10:00:45+00:00,NZ,Google Ads
656,2025-07-21T11:51:57+00:00,AU,Google Ads
994,2025-07-21T21:03:05+00:00,UK,Facebook Ads
400,2025-07-22T04:47:46+00:00,NZ,Google Ads
822,2025-07-22T06:48:13+00:00,AU,Organic
317,2025-07-22T11:28:15+00:00,NZ,Organic
699,2025-07-22T14:44:42+00:00,AU,Organic
510,2025-07-22T22:14:51+00:00,NZ,Referral
959,2025-07-23T19:57:37+00:00,AU,Organic
263,2025-07-23T23:32:19+00:00,NZ,Google Ads
360,2025-07-24T11:13:26+00:00,AU,Referral
616,2025-07-24T17:51:17+00:00,US,Organic
51,2025-07-25T03:59:06+00:00,US,Referral
997,2025-07-25T04:42:09+00:00,AU,Organic
145,2025-07-25T16:12:01+00:00,NZ,Google Ads
811,2025-07-25T19:39:17+00:00,AU,Referral
471,2025-07-25T22:25:47+00:00,CA,Organic
984,2025-07-26T13:36:50+00:00,US,Facebook Ads
108,2025-07-26T19:25:42+00:00,CA,Google Ads
76,2025-07-27T06:53:03+00:00,UK,Organic
384,2025-07-27T08:54:52+00:00,US,Google Ads
503,2025-07-27T18:16:44+00:00,NZ,Organic
365,2025-07-28T01:54:48+00:00,US,Facebook Ads
731,2025-07-28T03:55:49+00:00,US,Organic
397,2025-07-28T19:43:10+00:00,US,Organic
190,2025-07-29T01:00:54+00:00,AU,Facebook Ads
862,2025-07-29T04:12:00+00:00,AU,Organic
85,2025-07-29T08:47:53+00:00,AU,Organic
779,2025-07-29T10:31:55+00:00,US,Organic
587,2025-07-29T12:19:14+00:00,NZ,Organic
847,2025-07-29T22:57:12+00:00,AU,Referral
572,2025-07-30T02:05:10+00:00,US,Facebook Ads
686,2025-07-30T02:29:51+00:00,NZ,Facebook Ads
78,2025-07-30T11:45:12+00:00,US,Referral
836,2025-07-31T01:12:18+00:00,UK,Google Ads
432,2025-07-31T02:13:28+00:00,NZ,Organic
991,2025-07-31T12:04:38+00:00,NZ,Referral
906,2025-08-01T03:43:21+00:00,US,Organic
302,2025-08-01T10:29:45+00:00,US,Organic
459,2025-08-01T22:47:50+00:00,US,Google Ads
425,2025-08-02T04:36:37+00:00,NZ,Referral
477,2025-08-02T05:24:40+00:00,US,Organic
833,2025-08-02T07:33:34+00:00,CA,Google Ads
915,2025-08-02T16:19:36+00:00,AU,Organic
533,2025-08-02T16:22:25+00:00,AU,Organic
774,2025-08-03T12:42:17+00:00,NZ,Referral
958,2025-08-03T13:25:11+00:00,AU,Referral
613,2025-08-03T13:40:15+00:00,US,Google Ads
30,2025-08-03T21:22:51+00:00,NZ,Referral
242,2025-08-04T01:57:10+00:00,AU,Facebook Ads
810,2025-08-04T04:11:01+00:00,CA,Organic
227,2025-08-04T15:47:41+00:00,US,Organic
172,2025-08-04T16:46:39+00:00,NZ,Organic
81,2025-08-04T21:01:15+00:00,AU,Organic
666,2025-08-05T14:18:52+00:00,UK,Referral
217,2025-08-05T17:57:39+00:00,UK,Google Ads
472,2025-08-05T21:07:47+00:00,AU,Organic
805,2025-08-05T23:01:48+00:00,US,Google Ads
119,2025-08-05T23:16:46+00:00,AU,Organic
771,2025-08-06T01:18:12+00:00,NZ,Google Ads
136,2025-08-06T10:40:03+00:00,AU,Organic
83,2025-08-06T15:37:35+00:00,NZ,Referral
364,2025-08-06T21:51:36+00:00,NZ,Referral
871,2025-08-07T01:11:09+00:00,US,Google Ads
40,2025-08-07T06:08:02+00:00,NZ,Google Ads
748,2025-08-07T17:39:47+00:00,NZ,Organic
900,2025-08-07T19:26:26+00:00,NZ,Google Ads
267,2025-08-07T19:45:18+00:00,AU,Google Ads
625,2025-08-08T02:09:00+00:00,NZ,Organic
371,2025-08-08T03:18:39+00:00,NZ,Organic
147,2025-08-08T07:44:56+00:00,US,Google Ads
223,2025-08-08T17:41:24+00:00,US,Organic
897,2025-08-08T22:18:12+00:00,AU,Referral
520,2025-08-08T23:15:55+00:00,US,Google Ads
588,2025-08-08T23:18:28+00:00,US,Referral
285,2025-08-08T23:41:35+00:00,US,Referral
809,2025-08-09T04:49:12+00:00,AU,Google Ads
280,2025-08-09T04:53:03+00:00,US,Organic
465,2025-08-09T17:27:36+00:00,NZ,Google Ads
394,2025-08-10T04:29:32+00:00,NZ,Google Ads
501,2025-08-10T10:07:51+00:00,US,Google Ads
935,2025-08-10T10:09:49+00:00,NZ,Facebook Ads
675,2025-08-10T10:26:41+00:00,NZ,Google Ads
661,2025-08-10T17:44:31+00:00,CA,Google Ads
18,2025-08-10T21:40:38+00:00,AU,Referral
676,2025-08-11T03:06:33+00:00,AU,Google Ads
222,2025-08-11T08:03:32+00:00,US,Referral
240,2025-08-12T20:51:18+00:00,NZ,Facebook Ads
