"customer_id","plan_type","billing_cycle","total_revenue","total_payments","successful_payments","failed_payments","started_date","ended_date","subscription_length_days","churned"
24,"basic","yearly",216.00,1,1,0,"2025-03-22 06:24:11+13",NULL,284,0
25,"basic","monthly",20.00,1,1,0,"2025-12-13 01:23:11+13",NULL,18,0
26,"basic","monthly",140.00,7,7,0,"2025-06-15 13:16:28+12",NULL,199,0
27,"pro","monthly",550.00,11,11,0,"2025-02-15 21:14:53+13",NULL,319,0
28,"basic","monthly",200.00,10,9,1,"2025-02-10 07:03:09+13","2025-11-10 12:29:19+13",273,1
29,"pro","monthly",150.00,3,3,0,"2025-10-26 11:42:06+13",NULL,66,0
30,"basic","yearly",216.00,1,0,1,"2025-08-04 09:22:51+12",NULL,149,0
31,"pro","monthly",150.00,3,3,0,"2025-10-19 02:48:37+13",NULL,73,0
32,"pro","monthly",200.00,4,4,0,"2025-09-09 05:03:53+12",NULL,113,0
33,"basic","monthly",100.00,5,4,1,"2025-08-14 04:26:34+12",NULL,139,0
34,"pro","monthly",50.00,1,1,0,"2025-12-23 04:36:56+13",NULL,8,0
35,"basic","monthly",120.00,6,6,0,"2025-07-09 03:19:05+12",NULL,175,0
36,"basic","monthly",100.00,5,5,0,"2025-08-14 10:02:32+12",NULL,139,0
37,"basic","yearly",216.00,1,1,0,"2025-10-20 05:51:36+13",NULL,72,0
38,"pro","monthly",250.00,5,5,0,"2025-08-23 07:09:07+12",NULL,130,0
39,"basic","monthly",20.00,1,1,0,"2025-11-26 03:11:10+13","2025-11-29 10:25:00+13",3,1
40,"basic","yearly",216.00,1,1,0,"2025-08-07 18:08:02+12",NULL,146,0
41,"basic","monthly",80.00,4,4,0,"2025-09-14 14:43:27+12",NULL,108,0
42,"basic","monthly",180.00,9,8,1,"2025-01-08 09:09:53+13","2025-09-24 12:49:25+12",259,1
43,"basic","monthly",160.00,8,8,0,"2025-05-20 20:20:58+12",NULL,225,0
44,"basic","yearly",216.00,1,1,0,"2025-05-24 14:05:24+12",NULL,221,0
45,"basic","monthly",220.00,11,10,1,"2025-02-19 01:35:20+13",NULL,315,0
46,"pro","monthly",400.00,8,8,0,"2025-05-28 20:33:29+12",NULL,217,0
47,"pro","yearly",540.00,1,1,0,"2025-03-30 13:50:44+13",NULL,276,0
48,"basic","monthly",160.00,8,8,0,"2025-05-21 06:33:50+12",NULL,224,0
49,"basic","monthly",80.00,4,3,1,"2025-09-14 15:26:09+12",NULL,108,0
50,"basic","monthly",40.00,2,2,0,"2025-07-06 06:37:37+12","2025-08-28 11:10:00+12",53,1
51,"basic","monthly",40.00,2,2,0,"2025-07-25 15:59:06+12","2025-09-11 19:39:01+12",48,1
52,"basic","monthly",180.00,9,8,1,"2025-04-19 15:50:18+12",NULL,256,0
53,"basic","yearly",216.00,1,1,0,"2025-05-29 05:56:22+12",NULL,216,0
54,"basic","monthly",20.00,1,1,0,"2025-12-30 02:16:24+13",NULL,1,0
55,"pro","monthly",200.00,4,4,0,"2025-09-22 03:36:38+12",NULL,100,0
56,"pro","monthly",250.00,5,5,0,"2025-08-16 13:11:17+12",NULL,137,0
57,"pro","yearly",540.00,1,1,0,"2025-04-13 16:39:38+12",NULL,262,0
58,"basic","monthly",80.00,4,3,1,"2025-09-23 10:25:02+12",NULL,99,0
59,"basic","monthly",180.00,9,9,0,"2025-04-13 22:44:15+12",NULL,262,0
60,"basic","monthly",120.00,6,6,0,"2025-07-03 11:30:58+12",NULL,181,0
61,"basic","monthly",20.00,1,1,0,"2025-12-10 00:01:21+13",NULL,21,0
62,"pro","monthly",50.00,1,1,0,"2025-09-27 21:19:17+12","2025-10-17 06:29:15+13",19,1
63,"basic","monthly",100.00,5,5,0,"2025-08-28 03:54:44+12",NULL,125,0
64,"basic","monthly",80.00,4,4,0,"2025-09-22 15:55:14+12",NULL,100,0
65,"pro","monthly",50.00,1,1,0,"2025-10-05 22:47:28+13","2025-10-23 15:04:14+13",17,1
66,"basic","monthly",60.00,3,3,0,"2025-10-25 23:17:46+13",NULL,67,0
67,"basic","monthly",160.00,8,8,0,"2025-05-15 07:41:05+12",NULL,230,0
68,"basic","monthly",240.00,12,11,1,"2025-01-08 03:13:58+13",NULL,357,0
69,"basic","monthly",140.00,7,7,0,"2025-06-28 01:47:31+12",NULL,186,0
70,"basic","monthly",80.00,4,4,0,"2025-05-26 04:55:23+12","2025-08-27 07:45:53+12",93,1
71,"basic","yearly",216.00,1,1,0,"2025-04-27 13:32:50+12",NULL,248,0
72,"basic","yearly",216.00,1,1,0,"2025-12-06 15:19:45+13",NULL,25,0
73,"basic","monthly",40.00,2,2,0,"2025-11-18 01:08:49+13",NULL,43,0
74,"pro","monthly",350.00,7,7,0,"2025-06-29 04:56:36+12",NULL,185,0
75,"basic","monthly",80.00,4,4,0,"2025-09-01 17:12:56+12",NULL,121,0
76,"basic","monthly",40.00,2,1,1,"2025-07-27 18:53:03+12","2025-09-26 08:27:55+12",60,1
77,"pro","monthly",100.00,2,2,0,"2025-11-08 14:29:03+13",NULL,53,0
78,"pro","yearly",540.00,1,1,0,"2025-07-30 23:45:12+12",NULL,153,0
79,"basic","monthly",160.00,8,6,2,"2025-05-09 23:52:29+12",NULL,235,0
80,"basic","monthly",160.00,8,8,0,"2025-05-18 00:40:59+12",NULL,227,0
81,"pro","monthly",250.00,5,5,0,"2025-08-05 09:01:15+12",NULL,148,0
82,"basic","monthly",100.00,5,4,1,"2025-05-13 03:38:28+12","2025-09-18 06:19:20+12",128,1
83,"basic","monthly",100.00,5,4,1,"2025-08-07 03:37:35+12",NULL,146,0
84,"pro","monthly",100.00,2,2,0,"2025-11-13 00:10:53+13",NULL,48,0
85,"basic","yearly",216.00,1,1,0,"2025-07-29 20:47:53+12",NULL,155,0
86,"basic","monthly",180.00,9,9,0,"2025-04-23 14:18:01+12",NULL,252,0
87,"basic","monthly",20.00,1,1,0,"2025-12-13 14:10:54+13",NULL,18,0
88,"basic","monthly",100.00,5,5,0,"2025-08-19 18:54:14+12",NULL,134,0
89,"basic","monthly",220.00,11,11,0,"2025-02-21 20:43:13+13",NULL,313,0
90,"pro","yearly",540.00,1,1,0,"2025-01-10 09:26:32+13",NULL,355,0
91,"pro","monthly",500.00,10,10,0,"2025-03-02 10:00:30+13",NULL,304,0
92,"basic","monthly",20.00,1,1,0,"2025-08-30 16:41:11+12","2025-09-13 15:09:18+12",13,1
93,"basic","monthly",60.00,3,3,0,"2025-10-20 13:14:16+13",NULL,72,0
94,"basic","monthly",120.00,6,5,1,"2025-07-20 21:45:45+12",NULL,164,0
95,"basic","yearly",216.00,1,1,0,"2025-02-21 21:27:57+13",NULL,313,0
96,"basic","monthly",120.00,6,4,2,"2025-07-13 23:29:16+12",NULL,170,0
97,"pro","monthly",50.00,1,1,0,"2025-12-08 03:19:43+13",NULL,23,0
98,"basic","monthly",100.00,5,5,0,"2025-08-18 07:25:37+12",NULL,135,0
99,"pro","monthly",50.00,1,1,0,"2025-12-04 13:32:42+13",NULL,27,0
100,"pro","monthly",100.00,2,2,0,"2025-11-28 00:35:41+13",NULL,33,0
101,"basic","monthly",240.00,12,11,1,"2025-01-21 08:18:19+13",NULL,344,0
102,"pro","monthly",50.00,1,1,0,"2025-09-22 15:30:04+12","2025-10-22 06:59:04+13",29,1
103,"basic","monthly",80.00,4,4,0,"2025-09-11 20:40:20+12",NULL,111,0
104,"basic","yearly",216.00,1,1,0,"2025-08-28 20:16:41+12",NULL,125,0
105,"basic","monthly",160.00,8,7,1,"2025-05-24 08:19:12+12",NULL,221,0
106,"pro","monthly",100.00,2,2,0,"2025-09-06 04:48:15+12","2025-10-13 23:26:13+13",37,1
107,"basic","monthly",200.00,10,9,1,"2025-03-29 14:51:54+13",NULL,277,0
108,"basic","monthly",20.00,1,1,0,"2025-07-27 07:25:42+12","2025-08-03 14:15:53+12",7,1
109,"basic","monthly",120.00,6,6,0,"2025-07-12 09:08:46+12",NULL,172,0
110,"basic","monthly",20.00,1,1,0,"2025-12-02 09:31:18+13",NULL,29,0
111,"basic","monthly",40.00,2,2,0,"2025-11-10 02:25:24+13",NULL,51,0
112,"basic","monthly",40.00,2,2,0,"2025-05-24 13:37:45+12","2025-07-22 16:37:35+12",59,1
113,"basic","monthly",60.00,3,3,0,"2025-08-19 18:21:46+12","2025-11-14 01:08:09+13",86,1
114,"basic","yearly",216.00,1,1,0,"2025-04-23 19:43:34+12",NULL,252,0
115,"pro","monthly",100.00,2,2,0,"2025-11-22 04:58:42+13",NULL,39,0
116,"basic","monthly",40.00,2,2,0,"2025-11-13 05:19:54+13",NULL,48,0
117,"basic","monthly",140.00,7,7,0,"2025-06-07 09:56:35+12",NULL,207,0
118,"pro","monthly",200.00,4,4,0,"2025-09-06 21:06:30+12",NULL,116,0
119,"basic","monthly",100.00,5,4,1,"2025-08-06 11:16:46+12",NULL,147,0
120,"pro","monthly",450.00,9,7,2,"2025-03-27 06:48:58+13","2025-12-06 12:23:48+13",254,1
121,"pro","monthly",150.00,3,3,0,"2025-10-07 10:57:21+13",NULL,85,0
122,"basic","monthly",80.00,4,3,1,"2025-08-21 14:14:22+12","2025-12-11 20:16:04+13",112,1
123,"basic","monthly",60.00,3,3,0,"2025-10-09 12:55:19+13",NULL,83,0
124,"basic","monthly",100.00,5,5,0,"2025-08-14 22:23:16+12",NULL,139,0
125,"basic","monthly",240.00,12,12,0,"2025-01-19 22:29:54+13",NULL,346,0
126,"basic","monthly",20.00,1,1,0,"2025-06-05 03:03:55+12","2025-06-09 17:53:17+12",4,1
127,"basic","monthly",240.00,12,12,0,"2025-01-22 07:37:39+13",NULL,343,0
128,"basic","monthly",40.00,2,2,0,"2025-11-04 04:56:12+13",NULL,57,0
129,"basic","yearly",216.00,1,1,0,"2025-11-17 16:55:43+13",NULL,44,0
130,"basic","monthly",60.00,3,3,0,"2025-10-14 05:19:26+13",NULL,78,0
131,"basic","monthly",140.00,7,7,0,"2025-06-02 16:08:12+12",NULL,212,0
132,"basic","yearly",216.00,1,1,0,"2025-02-12 02:36:57+13",NULL,322,0
133,"basic","monthly",40.00,2,2,0,"2025-12-01 03:09:20+13",NULL,30,0
134,"basic","yearly",216.00,1,1,0,"2025-12-29 11:11:49+13",NULL,2,0
135,"basic","monthly",220.00,11,11,0,"2025-02-04 04:21:40+13",NULL,330,0
136,"basic","monthly",100.00,5,5,0,"2025-08-06 22:40:03+12",NULL,147,0
137,"basic","monthly",220.00,11,11,0,"2025-02-02 03:17:13+13",NULL,332,0
138,"basic","monthly",60.00,3,3,0,"2025-10-25 18:36:48+13",NULL,67,0
139,"basic","monthly",60.00,3,3,0,"2025-10-07 04:50:48+13",NULL,85,0
140,"pro","monthly",500.00,10,10,0,"2025-03-25 15:08:39+13",NULL,281,0
141,"basic","monthly",120.00,6,6,0,"2025-07-15 08:27:25+12",NULL,169,0
142,"basic","monthly",100.00,5,5,0,"2025-08-15 03:24:00+12",NULL,138,0
143,"basic","monthly",160.00,8,8,0,"2025-05-03 05:12:46+12",NULL,242,0
144,"pro","yearly",540.00,1,1,0,"2025-11-12 13:57:20+13",NULL,49,0
145,"basic","monthly",120.00,6,5,1,"2025-07-26 04:12:01+12",NULL,158,0
146,"basic","yearly",216.00,1,1,0,"2025-04-22 12:40:46+12",NULL,253,0
147,"basic","yearly",216.00,1,1,0,"2025-08-08 19:44:56+12",NULL,145,0
148,"pro","monthly",200.00,4,4,0,"2025-09-12 21:08:06+12",NULL,110,0
149,"basic","monthly",180.00,9,9,0,"2025-04-14 04:37:19+12",NULL,261,0
150,"basic","monthly",140.00,7,7,0,"2025-06-06 14:52:02+12",NULL,208,0
151,"basic","monthly",20.00,1,1,0,"2025-12-10 22:29:46+13",NULL,21,0
152,"basic","yearly",216.00,1,1,0,"2025-09-18 07:33:21+12",NULL,104,0
153,"pro","monthly",300.00,6,5,1,"2025-07-15 09:08:21+12",NULL,169,0
154,"pro","monthly",50.00,1,1,0,"2025-08-30 03:22:48+12","2025-09-07 08:40:14+12",8,1
155,"basic","monthly",40.00,2,2,0,"2025-03-07 18:58:58+13","2025-04-23 06:58:20+12",46,1
156,"basic","yearly",216.00,1,1,0,"2025-05-27 00:01:14+12",NULL,218,0
157,"basic","monthly",140.00,7,6,1,"2025-06-09 11:08:13+12",NULL,205,0
158,"pro","monthly",250.00,5,5,0,"2025-08-24 12:37:32+12",NULL,129,0
159,"basic","monthly",160.00,8,7,1,"2025-05-06 15:23:45+12",NULL,239,0
160,"basic","monthly",160.00,8,7,1,"2025-05-21 13:24:56+12",NULL,224,0
161,"basic","yearly",216.00,1,1,0,"2025-02-21 21:49:34+13",NULL,313,0
162,"pro","monthly",200.00,4,4,0,"2025-09-20 13:38:03+12",NULL,102,0
163,"basic","monthly",160.00,8,7,1,"2025-05-22 15:41:53+12",NULL,223,0
164,"basic","monthly",40.00,2,2,0,"2025-11-01 14:44:07+13",NULL,60,0
165,"basic","monthly",40.00,2,2,0,"2025-11-15 03:24:07+13",NULL,46,0
166,"basic","monthly",220.00,11,10,1,"2025-02-18 21:30:44+13",NULL,316,0
167,"basic","monthly",160.00,8,7,1,"2025-05-05 18:44:43+12",NULL,240,0
168,"basic","monthly",80.00,4,3,1,"2025-09-21 12:19:26+12",NULL,101,0
169,"basic","monthly",180.00,9,9,0,"2025-04-22 15:42:33+12",NULL,253,0
170,"basic","monthly",20.00,1,1,0,"2025-03-10 08:38:44+13","2025-04-02 08:45:03+13",23,1
171,"pro","monthly",50.00,1,1,0,"2025-12-06 02:53:57+13",NULL,25,0
172,"pro","monthly",250.00,5,4,1,"2025-08-05 04:46:39+12",NULL,148,0
173,"basic","monthly",120.00,6,6,0,"2025-07-04 21:07:50+12",NULL,180,0
174,"basic","monthly",60.00,3,3,0,"2025-10-05 04:12:38+13",NULL,87,0
175,"basic","monthly",60.00,3,3,0,"2025-10-07 21:53:33+13",NULL,85,0
176,"basic","monthly",20.00,1,1,0,"2025-04-07 23:45:26+12","2025-04-13 07:58:50+12",5,1
177,"basic","monthly",220.00,11,11,0,"2025-02-10 18:02:35+13",NULL,324,0
178,"basic","monthly",120.00,6,6,0,"2025-07-16 18:44:59+12",NULL,168,0
179,"pro","yearly",540.00,1,1,0,"2025-07-16 22:15:00+12",NULL,168,0
180,"basic","monthly",120.00,6,6,0,"2025-07-02 09:05:58+12",NULL,182,0
181,"pro","monthly",200.00,4,4,0,"2025-09-05 06:42:31+12",NULL,117,0
182,"basic","monthly",80.00,4,4,0,"2025-09-05 14:49:32+12",NULL,117,0
183,"pro","yearly",540.00,1,1,0,"2025-12-04 12:46:06+13",NULL,27,0
184,"pro","monthly",50.00,1,1,0,"2025-02-10 09:14:29+13","2025-02-28 16:56:21+13",18,1
185,"basic","yearly",216.00,1,1,0,"2025-07-10 20:29:03+12",NULL,174,0
186,"basic","monthly",100.00,5,5,0,"2025-06-04 17:55:02+12","2025-10-05 13:52:33+13",122,1
187,"basic","monthly",40.00,2,2,0,"2025-11-28 22:23:51+13",NULL,33,0
188,"basic","monthly",160.00,8,8,0,"2025-05-22 22:27:47+12",NULL,223,0
189,"basic","monthly",100.00,5,5,0,"2025-04-04 16:54:48+13","2025-08-12 05:07:59+12",129,1
190,"basic","monthly",120.00,6,5,1,"2025-07-29 13:00:54+12",NULL,155,0
191,"basic","monthly",80.00,4,3,1,"2025-07-06 09:41:10+12","2025-11-05 12:53:41+13",122,1
192,"pro","monthly",400.00,8,7,1,"2025-05-11 23:57:28+12",NULL,233,0
193,"basic","monthly",40.00,2,2,0,"2025-06-01 07:17:56+12","2025-07-14 15:00:58+12",43,1
194,"basic","monthly",40.00,2,2,0,"2025-11-24 15:23:52+13",NULL,37,0
195,"basic","monthly",120.00,6,6,0,"2025-07-11 17:07:25+12",NULL,173,0
196,"basic","yearly",216.00,1,1,0,"2025-11-14 03:17:53+13",NULL,47,0
197,"basic","monthly",100.00,5,4,1,"2025-08-14 10:54:30+12",NULL,139,0
198,"basic","monthly",160.00,8,8,0,"2025-02-27 02:41:56+13","2025-10-16 14:50:23+13",231,1
199,"basic","monthly",20.00,1,1,0,"2025-12-26 18:07:08+13",NULL,5,0
200,"basic","monthly",60.00,3,3,0,"2025-10-24 12:03:54+13",NULL,68,0
201,"basic","yearly",216.00,1,1,0,"2025-12-06 16:26:58+13",NULL,25,0
202,"pro","monthly",100.00,2,2,0,"2025-11-20 04:51:36+13",NULL,41,0
203,"basic","monthly",60.00,3,3,0,"2025-10-23 03:11:39+13",NULL,69,0
204,"basic","monthly",20.00,1,1,0,"2025-04-13 23:39:01+12","2025-05-05 05:39:37+12",21,1
205,"basic","monthly",100.00,5,5,0,"2025-08-29 09:56:53+12",NULL,124,0
206,"basic","monthly",120.00,6,5,1,"2025-04-24 16:30:58+12","2025-10-01 22:41:52+13",160,1
207,"basic","monthly",20.00,1,1,0,"2025-07-16 15:56:26+12","2025-08-03 23:26:35+12",18,1
208,"basic","monthly",200.00,10,9,1,"2025-02-15 14:04:16+13","2025-12-14 14:52:46+13",302,1
209,"basic","yearly",216.00,1,1,0,"2025-07-21 22:00:45+12",NULL,163,0
210,"pro","yearly",540.00,1,1,0,"2025-12-29 10:33:49+13",NULL,2,0
211,"basic","yearly",216.00,1,1,0,"2025-05-25 06:46:36+12",NULL,220,0
212,"pro","monthly",150.00,3,2,1,"2025-10-09 10:55:21+13",NULL,83,0
213,"basic","yearly",216.00,1,1,0,"2025-07-18 04:44:44+12",NULL,166,0
214,"basic","monthly",120.00,6,6,0,"2025-07-20 15:27:42+12",NULL,164,0
215,"pro","yearly",540.00,1,1,0,"2025-12-24 20:30:22+13",NULL,7,0
216,"basic","monthly",20.00,1,1,0,"2025-12-23 10:41:24+13",NULL,8,0
217,"basic","monthly",80.00,4,4,0,"2025-08-06 05:57:39+12","2025-11-07 12:59:37+13",93,1
218,"pro","monthly",200.00,4,4,0,"2025-09-02 12:41:59+12",NULL,120,0
219,"basic","monthly",60.00,3,3,0,"2025-03-07 05:54:30+13","2025-05-29 13:32:59+12",83,1
220,"basic","yearly",216.00,1,1,0,"2025-06-29 03:55:10+12",NULL,185,0
221,"pro","monthly",50.00,1,1,0,"2025-12-04 04:20:15+13",NULL,27,0
222,"basic","monthly",100.00,5,5,0,"2025-08-11 20:03:32+12",NULL,142,0
223,"basic","monthly",100.00,5,5,0,"2025-08-09 05:41:24+12",NULL,144,0
224,"basic","monthly",80.00,4,4,0,"2025-09-13 19:05:29+12",NULL,109,0
225,"basic","monthly",220.00,11,11,0,"2025-02-16 07:28:05+13",NULL,318,0
226,"pro","monthly",250.00,5,5,0,"2025-08-29 03:28:20+12",NULL,124,0
227,"pro","monthly",250.00,5,5,0,"2025-08-05 03:47:41+12",NULL,148,0
228,"basic","monthly",40.00,2,2,0,"2025-11-01 16:25:26+13",NULL,60,0
229,"basic","monthly",200.00,10,10,0,"2025-03-03 06:35:00+13",NULL,303,0
230,"basic","monthly",20.00,1,1,0,"2025-12-27 15:50:38+13",NULL,4,0
231,"pro","yearly",540.00,1,1,0,"2025-02-21 09:19:56+13",NULL,313,0
232,"basic","monthly",180.00,9,9,0,"2025-04-18 05:13:41+12",NULL,257,0
233,"pro","monthly",250.00,5,5,0,"2025-08-23 02:21:23+12",NULL,130,0
234,"basic","monthly",80.00,4,3,1,"2025-09-27 13:52:14+12",NULL,95,0
235,"pro","monthly",400.00,8,8,0,"2025-05-29 02:21:35+12",NULL,216,0
236,"pro","monthly",500.00,10,10,0,"2025-03-26 08:38:30+13",NULL,280,0
237,"basic","monthly",40.00,2,2,0,"2025-11-24 10:23:45+13",NULL,37,0
238,"basic","monthly",160.00,8,8,0,"2025-05-15 15:06:48+12",NULL,230,0
239,"pro","yearly",540.00,1,1,0,"2025-08-22 19:00:21+12",NULL,131,0
240,"basic","yearly",216.00,1,1,0,"2025-08-13 08:51:18+12",NULL,140,0
241,"basic","monthly",60.00,3,2,1,"2025-07-19 04:23:44+12","2025-09-30 15:18:47+13",73,1
242,"basic","monthly",100.00,5,5,0,"2025-08-04 13:57:10+12",NULL,149,0
243,"pro","monthly",200.00,4,4,0,"2025-08-16 16:52:45+12","2025-12-10 20:58:01+13",116,1
244,"basic","monthly",20.00,1,1,0,"2025-12-25 12:26:06+13",NULL,6,0
245,"basic","monthly",60.00,3,3,0,"2025-04-10 07:12:12+12","2025-07-07 02:03:36+12",87,1
246,"basic","yearly",216.00,1,1,0,"2025-09-05 00:13:29+12","2025-10-12 05:03:52+13",37,1
247,"pro","monthly",400.00,8,8,0,"2025-05-27 18:45:21+12",NULL,218,0
248,"basic","yearly",216.00,1,1,0,"2025-07-05 01:02:59+12",NULL,179,0
249,"pro","yearly",540.00,1,1,0,"2025-09-22 09:37:07+12",NULL,100,0
250,"basic","yearly",216.00,1,1,0,"2025-06-26 02:29:42+12",NULL,188,0
251,"basic","monthly",40.00,2,2,0,"2025-06-20 04:08:31+12","2025-08-01 23:31:44+12",42,1
252,"basic","monthly",80.00,4,3,1,"2025-09-02 04:47:03+12",NULL,120,0
253,"pro","monthly",350.00,7,7,0,"2025-02-19 02:53:37+13","2025-09-12 09:15:05+12",205,1
254,"basic","yearly",216.00,1,1,0,"2025-07-17 04:49:58+12",NULL,167,0
255,"basic","yearly",216.00,1,0,1,"2025-12-30 18:44:37+13",NULL,1,0
256,"basic","monthly",20.00,1,1,0,"2025-12-07 12:52:08+13",NULL,24,0
257,"pro","yearly",540.00,1,1,0,"2025-02-05 01:42:38+13",NULL,329,0
258,"basic","monthly",40.00,2,2,0,"2025-04-20 22:32:56+12","2025-05-21 14:20:18+12",30,1
259,"basic","monthly",160.00,8,8,0,"2025-05-14 01:38:58+12",NULL,231,0
260,"basic","monthly",20.00,1,1,0,"2025-12-23 20:17:25+13",NULL,8,0
261,"basic","monthly",40.00,2,2,0,"2025-11-11 22:28:51+13",NULL,50,0
262,"basic","monthly",40.00,2,2,0,"2025-11-05 17:26:38+13",NULL,56,0
263,"pro","monthly",300.00,6,6,0,"2025-07-24 11:32:19+12",NULL,160,0
264,"basic","monthly",20.00,1,1,0,"2025-03-28 11:35:55+13","2025-04-03 22:55:35+13",6,1
265,"basic","monthly",60.00,3,3,0,"2025-10-12 11:47:59+13",NULL,80,0
266,"basic","monthly",80.00,4,4,0,"2025-09-19 08:13:12+12",NULL,103,0
267,"pro","yearly",540.00,1,1,0,"2025-08-08 07:45:18+12",NULL,145,0
268,"basic","monthly",20.00,1,1,0,"2025-12-23 00:58:43+13",NULL,8,0
269,"basic","yearly",216.00,1,1,0,"2025-09-06 10:41:11+12",NULL,116,0
270,"basic","monthly",40.00,2,2,0,"2025-01-18 06:44:40+13","2025-02-23 20:56:59+13",36,1
271,"pro","monthly",150.00,3,3,0,"2025-10-12 11:07:48+13",NULL,80,0
272,"basic","yearly",216.00,1,1,0,"2025-06-13 05:30:37+12",NULL,201,0
273,"basic","monthly",80.00,4,3,1,"2025-09-20 09:45:26+12",NULL,102,0
274,"basic","yearly",216.00,1,1,0,"2025-12-23 12:57:53+13",NULL,8,0
275,"pro","monthly",50.00,1,1,0,"2025-03-18 22:56:54+13","2025-04-13 03:08:37+12",25,1
276,"pro","monthly",50.00,1,1,0,"2025-03-14 13:33:06+13","2025-04-07 06:31:57+12",23,1
277,"basic","yearly",216.00,1,1,0,"2025-03-02 01:09:03+13",NULL,304,0
278,"basic","monthly",100.00,5,5,0,"2025-08-22 13:12:17+12",NULL,131,0
279,"basic","monthly",100.00,5,4,1,"2025-05-25 17:18:43+12","2025-10-21 02:11:36+13",148,1
280,"basic","monthly",100.00,5,5,0,"2025-08-09 16:53:03+12",NULL,144,0
281,"basic","monthly",80.00,4,4,0,"2025-09-23 21:13:48+12",NULL,99,0
282,"basic","yearly",216.00,1,1,0,"2025-04-18 13:22:52+12",NULL,257,0
283,"basic","yearly",216.00,1,1,0,"2025-09-15 15:39:55+12",NULL,107,0
284,"basic","monthly",140.00,7,6,1,"2025-05-23 11:35:55+12","2025-11-29 20:41:54+13",190,1
285,"basic","monthly",100.00,5,5,0,"2025-08-09 11:41:35+12",NULL,144,0
286,"basic","monthly",40.00,2,2,0,"2025-11-13 20:32:50+13",NULL,48,0
287,"basic","monthly",60.00,3,3,0,"2025-10-27 11:18:44+13",NULL,65,0
288,"basic","yearly",216.00,1,1,0,"2025-02-22 14:59:24+13",NULL,312,0
289,"basic","monthly",120.00,6,6,0,"2025-07-14 01:50:43+12",NULL,170,0
290,"basic","monthly",20.00,1,1,0,"2025-05-12 05:03:00+12","2025-05-26 02:59:33+12",13,1
291,"basic","monthly",240.00,12,12,0,"2025-01-24 21:12:39+13",NULL,341,0
292,"basic","yearly",216.00,1,1,0,"2025-10-29 03:53:14+13",NULL,63,0
293,"basic","monthly",60.00,3,3,0,"2025-10-01 09:45:45+13","2025-12-08 04:53:56+13",67,1
294,"pro","monthly",400.00,8,8,0,"2025-05-21 23:48:37+12",NULL,223,0
295,"basic","yearly",216.00,1,1,0,"2025-09-19 11:38:12+12",NULL,103,0
296,"basic","yearly",216.00,1,1,0,"2025-08-26 11:12:18+12",NULL,127,0
297,"pro","monthly",300.00,6,6,0,"2025-07-15 17:43:04+12",NULL,169,0
298,"pro","monthly",400.00,8,8,0,"2025-01-06 18:47:32+13","2025-09-01 14:42:51+12",237,1
299,"pro","monthly",550.00,11,11,0,"2025-02-05 01:02:27+13",NULL,329,0
300,"basic","monthly",40.00,2,2,0,"2025-11-10 06:16:08+13",NULL,51,0
301,"basic","monthly",40.00,2,2,0,"2025-11-07 07:54:16+13",NULL,54,0
